Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,Guadalajara,2024-08-26 / 2024-09-01,3773336,241689,6.41%,21.82%,1.40%,1.02%,1.47%
MX,Delicias,2024-08-26 / 2024-09-01,25413,1421,5.59%,24.00%,1.34%,0.62%,0.94%
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,3,0,0.00%,-,0.00%,-,-
MX,Irapuato,2024-08-26 / 2024-09-01,80155,4945,6.17%,20.26%,1.25%,1.03%,1.16%
MX,Valles City,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
MX,Salamanca,2024-08-26 / 2024-09-01,23952,1494,6.24%,13.65%,0.85%,1.98%,3.59%
MX,Celaya,2024-08-26 / 2024-09-01,146941,9631,6.55%,18.91%,1.24%,1.50%,1.73%
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,65282,3329,5.10%,14.63%,0.75%,3.81%,1.33%
MX,Matamoros,2024-08-26 / 2024-09-01,233155,14553,6.24%,16.34%,1.02%,0.72%,1.11%
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
MX,Reynosa,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
MX,Torreon,2024-08-26 / 2024-09-01,457048,29396,6.43%,21.00%,1.35%,0.98%,1.20%
MX,Monclova,2024-08-26 / 2024-09-01,2,0,0.00%,-,0.00%,-,-
MX,Chihuahua,2024-08-26 / 2024-09-01,1236607,89349,7.23%,20.99%,1.52%,0.95%,1.35%
MX,Durango,2024-08-26 / 2024-09-01,678313,45645,6.73%,21.75%,1.46%,1.29%,1.29%
MX,San Juan del Río,2024-08-26 / 2024-09-01,49996,4107,8.21%,19.31%,1.59%,1.50%,1.15%
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,1635977,114792,7.02%,21.00%,1.47%,0.89%,1.50%
MX,Victoria,2024-08-26 / 2024-09-01,130849,8764,6.70%,16.21%,1.09%,0.89%,0.79%
MX,Saltillo,2024-08-26 / 2024-09-01,519838,29510,5.68%,17.20%,0.98%,1.32%,2.06%
MX,Monterrey,2024-08-26 / 2024-09-01,4120564,277727,6.74%,17.72%,1.19%,1.20%,1.31%
MX,Aguascalientes,2024-08-26 / 2024-09-01,353983,23432,6.62%,17.10%,1.13%,1.40%,1.08%
MX,Zacatecas,2024-08-26 / 2024-09-01,88957,6295,7.08%,20.05%,1.42%,0.90%,1.69%
MX,Tampico,2024-08-26 / 2024-09-01,449823,30114,6.69%,18.25%,1.22%,0.59%,1.23%
MX,Leon,2024-08-26 / 2024-09-01,411627,28333,6.88%,18.54%,1.28%,0.87%,1.76%
MX,Queretaro,2024-08-26 / 2024-09-01,731941,49577,6.77%,18.29%,1.24%,1.08%,1.81%
