Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Villahermosa,CKA,2024-11-18 / 2024-11-24,59.0
MX,Ensenada,CKA,2024-11-18 / 2024-11-24,38.0
MX,Leon,CKA,2024-11-18 / 2024-11-24,40.0
MX,Salamanca,CKA,2024-11-18 / 2024-11-24,2.0
MX,Puebla,CKA,2024-11-18 / 2024-11-24,140.0
MX,San Luis Potosi,CKA,2024-11-18 / 2024-11-24,35.0
MX,Monterrey,CKA,2024-11-18 / 2024-11-24,389.0
MX,Las Choapas,CKA,2024-11-18 / 2024-11-24,1.0
MX,Coatzacoalcos,SME,2024-11-18 / 2024-11-24,17.0
MX,Irapuato,SME,2024-11-18 / 2024-11-24,44.0
MX,Hermosillo,SME,2024-11-18 / 2024-11-24,120.0
MX,Tehuacan,SME,2024-11-18 / 2024-11-24,16.0
MX,Delicias,SME,2024-11-18 / 2024-11-24,29.0
MX,Zacatecas,SME,2024-11-18 / 2024-11-24,37.0
MX,Mazatlan,SME,2024-11-18 / 2024-11-24,65.0
MX,Xalapa,SME,2024-11-18 / 2024-11-24,20.0
MX,Saltillo,SME,2024-11-18 / 2024-11-24,73.0
MX,Tlaxcala,SME,2024-11-18 / 2024-11-24,32.0
MX,San Cristobal de las Casas,SME,2024-11-18 / 2024-11-24,18.0
MX,Carmen,SME,2024-11-18 / 2024-11-24,12.0
MX,Colima,SME,2024-11-18 / 2024-11-24,66.0
MX,San Luis Potosi,SME,2024-11-18 / 2024-11-24,138.0
MX,Manzanillo,SME,2024-11-18 / 2024-11-24,37.0
MX,Monterrey,SME,2024-11-18 / 2024-11-24,618.0
MX,Victoria,SME,2024-11-18 / 2024-11-24,47.0
MX,Mexico City,SME,2024-11-18 / 2024-11-24,1381.0
MX,Culiacan,SME,2024-11-18 / 2024-11-24,138.0
MX,Tapachula,SME,2024-11-18 / 2024-11-24,18.0
MX,Los Mochis-Guasave,SME,2024-11-18 / 2024-11-24,58.0
MX,Solidaridad,SME,2024-11-18 / 2024-11-24,12.0
MX,Los Cabos,SME,2024-11-18 / 2024-11-24,44.0
MX,Cuernavaca,SME,2024-11-18 / 2024-11-24,116.0
MX,Celaya,SME,2024-11-18 / 2024-11-24,45.0
MX,Puerto Vallarta,SME,2024-11-18 / 2024-11-24,46.0
MX,Puebla,SME,2024-11-18 / 2024-11-24,201.0
MX,Tijuana,SME,2024-11-18 / 2024-11-24,210.0
MX,Villahermosa,SME,2024-11-18 / 2024-11-24,96.0
MX,Mexicali,SME,2024-11-18 / 2024-11-24,237.0
MX,Salamanca,SME,2024-11-18 / 2024-11-24,15.0
MX,Guadalajara,SME,2024-11-18 / 2024-11-24,813.0
MX,Chihuahua,SME,2024-11-18 / 2024-11-24,105.0
MX,Veracruz,SME,2024-11-18 / 2024-11-24,71.0
MX,Torreon,SME,2024-11-18 / 2024-11-24,128.0
MX,Las Choapas,SME,2024-11-18 / 2024-11-24,7.0
MX,San Juan del Río,SME,2024-11-18 / 2024-11-24,34.0
MX,Acapulco,SME,2024-11-18 / 2024-11-24,20.0
MX,Navojoa,SME,2024-11-18 / 2024-11-24,21.0
MX,Campeche,SME,2024-11-18 / 2024-11-24,31.0
MX,Tepic,SME,2024-11-18 / 2024-11-24,107.0
MX,Queretaro,SME,2024-11-18 / 2024-11-24,139.0
MX,Matamoros,SME,2024-11-18 / 2024-11-24,88.0
MX,Ciudad Obregon,SME,2024-11-18 / 2024-11-24,72.0
MX,Merida,SME,2024-11-18 / 2024-11-24,83.0
MX,Poza Rica de Hidalgo,SME,2024-11-18 / 2024-11-24,9.0
MX,La Paz,SME,2024-11-18 / 2024-11-24,75.0
MX,Jaurez CHIH,SME,2024-11-18 / 2024-11-24,252.0
MX,Toluca,SME,2024-11-18 / 2024-11-24,119.0
MX,Tampico,SME,2024-11-18 / 2024-11-24,90.0
MX,Oaxaca,SME,2024-11-18 / 2024-11-24,102.0
MX,Cancun,SME,2024-11-18 / 2024-11-24,123.0
MX,Aguascalientes,SME,2024-11-18 / 2024-11-24,115.0
MX,Tuxtla Gutierrez,SME,2024-11-18 / 2024-11-24,123.0
MX,Nuevo Laredo,SME,2024-11-18 / 2024-11-24,36.0
MX,Leon,SME,2024-11-18 / 2024-11-24,111.0
MX,Morelia,SME,2024-11-18 / 2024-11-24,133.0
MX,Pachuca,SME,2024-11-18 / 2024-11-24,18.0
MX,Durango,SME,2024-11-18 / 2024-11-24,184.0
MX,Ensenada,SME,2024-11-18 / 2024-11-24,146.0
MX,Chetumal,SME,2024-11-18 / 2024-11-24,18.0
