organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,MX,Ciudad Obregon,2024-11-25 / 2024-12-01,1210,21.03%,0.020800000000000000,0.260000000000000000,715306,53337,1.27%,1.53%,244.9341000000000,181.2559000000000
Normal,MX,San Cristobal de las Casas,2024-11-25 / 2024-12-01,244,14.32%,0.013400000000000000,0.197000000000000000,161892,10358,1.09%,1.60%,250.9178000000000,201.4834000000000
Normal,MX,Chilpancingo de los Bravo,2024-11-25 / 2024-12-01,0,-,-,-,0,0,-,-,-,-
Normal,MX,Irapuato,2024-11-25 / 2024-12-01,632,14.59%,0.021000000000000000,0.197000000000000000,441048,28532,1.08%,1.46%,245.8620000000000,197.4390000000000
Normal,MX,Poza Rica de Hidalgo,2024-11-25 / 2024-12-01,164,16.24%,0.023000000000000000,0.220800000000000000,131367,9217,0.95%,2.40%,219.9179000000000,171.3499000000000
Normal,MX,La Piedad,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Tampico,2024-11-25 / 2024-12-01,1485,22.93%,0.039400000000000000,0.306600000000000000,941385,62482,1.15%,0.87%,256.9556000000000,178.1631000000000
Normal,MX,Victoria,2024-11-25 / 2024-12-01,761,16.37%,0.026900000000000000,0.241000000000000000,608990,40070,0.92%,1.53%,270.2439000000000,205.1073000000000
Normal,MX,Delicias,2024-11-25 / 2024-12-01,440,8.81%,0.004900000000000000,0.134800000000000000,219565,16464,1.47%,1.01%,261.0500000000000,225.8537000000000
Normal,MX,Guanajuato,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,San Luis Potosi,2024-11-25 / 2024-12-01,2254,12.72%,0.025100000000000000,0.185800000000000000,1280735,90716,1.32%,1.68%,226.6433000000000,184.5243000000000
Normal,MX,Acapulco,2024-11-25 / 2024-12-01,313,11.90%,0.021500000000000000,0.176500000000000000,227778,17157,1.03%,1.56%,278.4822000000000,229.3349000000000
Normal,MX,Mazatlan,2024-11-25 / 2024-12-01,932,13.15%,0.017500000000000000,0.180400000000000000,707335,44906,0.97%,1.12%,257.2883000000000,210.8754000000000
Normal,MX,Chihuahua,2024-11-25 / 2024-12-01,1761,15.77%,0.024900000000000000,0.219200000000000000,1309217,92566,1.03%,2.08%,273.0432000000000,213.1861000000000
Normal,MX,Veracruz,2024-11-25 / 2024-12-01,1325,15.60%,0.036900000000000000,0.223200000000000000,934180,64125,1.04%,1.20%,228.6528000000000,177.6176000000000
Normal,MX,Ensenada,2024-11-25 / 2024-12-01,2596,15.13%,0.017600000000000000,0.197000000000000000,1282568,92285,1.48%,1.01%,264.1044000000000,212.0719000000000
Normal,MX,Guadalajara,2024-11-25 / 2024-12-01,13348,19.92%,0.030000000000000000,0.262700000000000000,8201779,543002,1.20%,1.39%,244.3172000000000,180.1293000000000
Normal,MX,Minatitlan,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Toluca,2024-11-25 / 2024-12-01,2137,17.05%,0.027200000000000000,0.228300000000000000,1496760,96298,1.07%,1.72%,246.0239000000000,189.8661000000000
Normal,MX,Manzanillo,2024-11-25 / 2024-12-01,588,11.37%,0.014000000000000000,0.165300000000000000,310863,22625,1.37%,1.00%,282.7196000000000,235.9949000000000
Normal,MX,Abejones,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Saltillo,2024-11-25 / 2024-12-01,1016,11.84%,0.011400000000000000,0.181300000000000000,778717,53088,0.98%,1.57%,281.7481000000000,230.6683000000000
