Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Chetumal,SME,2024-11-25 / 2024-12-01,15.0
MX,Cordoba,SME,2024-11-25 / 2024-12-01,31.0
MX,Cuernavaca,SME,2024-11-25 / 2024-12-01,124.0
MX,Aguascalientes,SME,2024-11-25 / 2024-12-01,115.0
MX,Torreon,SME,2024-11-25 / 2024-12-01,124.0
MX,Mazatlan,SME,2024-11-25 / 2024-12-01,61.0
MX,Guadalajara,SME,2024-11-25 / 2024-12-01,797.0
MX,Tampico,SME,2024-11-25 / 2024-12-01,85.0
MX,Ensenada,SME,2024-11-25 / 2024-12-01,141.0
MX,Tapachula,SME,2024-11-25 / 2024-12-01,17.0
MX,Ciudad Obregon,SME,2024-11-25 / 2024-12-01,77.0
MX,Manzanillo,SME,2024-11-25 / 2024-12-01,39.0
MX,Veracruz,SME,2024-11-25 / 2024-12-01,72.0
MX,Leon,SME,2024-11-25 / 2024-12-01,114.0
MX,Victoria,SME,2024-11-25 / 2024-12-01,46.0
MX,Matamoros,SME,2024-11-25 / 2024-12-01,93.0
MX,Chihuahua,SME,2024-11-25 / 2024-12-01,110.0
MX,Los Cabos,SME,2024-11-25 / 2024-12-01,44.0
MX,La Paz,SME,2024-11-25 / 2024-12-01,81.0
MX,Mexicali,SME,2024-11-25 / 2024-12-01,237.0
CO,"Bogotá, D.C.",CKA,2024-11-25 / 2024-12-01,469.0
CO,Cali,CKA,2024-11-25 / 2024-12-01,107.0
CO,Bucaramanga,CKA,2024-11-25 / 2024-12-01,14.0
CO,Barranquilla,CKA,2024-11-25 / 2024-12-01,63.0
CO,Medellín,CKA,2024-11-25 / 2024-12-01,298.0
CO,Cartagena,CKA,2024-11-25 / 2024-12-01,4.0
CO,Cali,SME,2024-11-25 / 2024-12-01,199.0
CO,Cartagena,SME,2024-11-25 / 2024-12-01,10.0
CO,Bucaramanga,SME,2024-11-25 / 2024-12-01,31.0
CO,Barranquilla,SME,2024-11-25 / 2024-12-01,117.0
CO,"Bogotá, D.C.",SME,2024-11-25 / 2024-12-01,444.0
CO,Medellín,SME,2024-11-25 / 2024-12-01,366.0
CO,Cúcuta,SME,2024-11-25 / 2024-12-01,8.0
CR,San Jose,CKA,2024-11-25 / 2024-12-01,103.0
CR,San Jose,SME,2024-11-25 / 2024-12-01,125.0
PE,Lima,CKA,2024-11-25 / 2024-12-01,73.0
